spec_z,photo_z
0.53784,0.46
0.54007,0.55
0.12659,0.13
0.63248,0.8200000000000001
0.1303945,0.19
0.09,0.73
0.33041415,0.8
0.11277931,0.17
0.6323201,0.97
0.1029,0.65
0.1273,0.0999999999999999
0.28551877,0.4
0.14213541,0.16
0.1108,0.0999999999999999
0.15202409,0.56
0.44458964,0.4
0.23860563,0.51
0.0709,0.43
0.3465534,0.39
0.1167,0.46
0.064956896,0.21
0.0705578,0.56
0.27807862,0.4
0.34513423,0.37
0.35514513,0.37
0.2272,0.15
0.3558859,0.38
0.1664,0.26
0.21606064,0.23
0.1538412,0.12
0.15240996,0.25
0.12782636,0.14
0.15279885,0.16
0.02,0.14
0.11044518,0.17
0.1092586,0.14
0.32614374,0.33
0.40189266,0.37
0.0757,0.0699999999999999
0.42441976,0.4
0.1675,0.13
0.052967347,0.02
0.07509289,0.2
0.07172922,0.0999999999999999
0.3591034,0.41
0.36004707,0.37
0.36073455,0.36
0.48549056,0.51
0.635923,0.62
0.37376136,0.41
0.053445887,0.0999999999999999
0.1433194,0.17
0.41158345,0.35
0.1022,0.0999999999999999
0.3727854,0.38
0.27679348,0.3
0.078,0.15
0.3584046,0.36
0.35732263,0.38
0.37401265,0.36
0.56998575,0.52
0.6120195,0.5700000000000001
0.14407414,0.15
0.35062757,0.46
0.27493396,0.29
0.3607,0.3
0.6144073,0.6
0.4826928,0.48
0.045293853,0.7100000000000001
0.07667191,0.08
0.33293647,0.33
0.48457298,0.7000000000000001
0.35197663,0.51
0.1519701,0.14
0.074092515,0.16
0.5688042,0.59
0.073837906,0.24
0.07609937,0.2
0.5222327,0.6
0.1527,0.18
0.12983932,0.35
0.1292,0.19
0.40092015,0.44
0.7523828,0.76
0.23885766,0.29
0.35858637,0.37
0.6329853,0.61
0.07532813,0.11
0.521358,0.51
0.07631316,0.01
0.27859795,0.32
0.07619143,0.01
0.08724587,0.23
0.07473505,0.0999999999999999
0.07302999,0.0999999999999999
0.5864809,0.48
0.076266974,0.12
